StationID,StationName,WBIC,County,Region,Latitude,Longitude
10042185,Keenans Creek at Keenan Rd,803500,Dane,SC,42.974876,-89.32241
10015400,White River - Cottonville Lane (Upstream),148500,Waushara,NE,44.04399,-89.27754
10016433,Brandy Brook at Cth DT (Pb-7),771400,Waukesha,SE,43.003494,-88.32285
10021414,Johnson Creek At Cth B In Johnson Creek,846700,Jefferson,SC,43.07565,-88.77641
10031670,Rock Creek at Manske Road,830100,Jefferson,SC,43.107567,-88.87234
10039576,Rock Creek upstream of Stony Rd,830100,Jefferson,SC,43.081577,-88.89441
133070,Starkweather Creek at Sth 30,805100,Dane,SC,43.106487,-89.32366
10040928,Twin Creek N of Twin Creek Rd,609900,Marinette,NE,45.207367,-87.752014
10010707,Mecan River - 11th Rd Ibi Station 2,155000,Waushara,NE,44.007477,-89.39172
10037927,Pine River at Aniwa Road,247800,Waushara,NE,44.202923,-89.18575
10040536,Lawrence Creek at Eagle Ave,167100,Marquette,NE,43.89426,-89.56947
10013711,Peterson Creek - Jensen Rd.,275400,Waupaca,NE,44.4354,-89.1696
10039566,Killsnake River W of Killsnake Rd and CTH BB,78200,Calumet,NE,44.08777,-88.20661
10037928,South Branch Little Wolf at Erickson Road and STH 49,272600,Waupaca,NE,44.537457,-89.17535
603334,North Branch Milwaukee (Nichols Creek - Hwy N),27100,Sheboygan,SE,43.68894,-88.03396
10008930,Mormon Coulee Creek #9 - Kreibich Coulee Rd Bridge,1648300,La Crosse,WC,43.756973,-91.06005
10008018,Harker Creek US confluence with Lee Creek,1238400,Iowa,SC,43.013542,-90.2395
10008033,Lee Creek US confluence Harker Creek,1238500,Iowa,SC,43.013004,-90.23996
10040926,Underwood Creek at Pomona Dr,16700,Waukesha,SE,43.070446,-88.10212
10034839,Cedar Creek ~700ft S of Hwy 60 off Keup Rd,21300,Ozaukee,SE,43.32103,-87.97778
10030241,Honey Creek at CTH Y (W Layler Rd),NA,Milwaukee,SE,42.95895,-87.98352
10039626,Spring Brook 300ft up from bridge at Carver Roehl County Park,791300,Rock,SC,42.608273,-88.82725
10039653,East Branch Rock River 600 ft E of CTH Y,861400,Dodge,SC,43.511185,-88.55531
10043126,Spring Brook at Leeson Park Pavilion,790500,Rock,SC,42.512676,-89.0045
673109,Cedar Creek - N Br at Plsnt Va 1m(Bi),21300,Washington,SE,43.35303,-88.23387
10030703,Unnamed Tributary to Spring Creek near Orchard Dr,773470,Waukesha,SE,43.13485,-88.21941
10039588,Town Creek at 8th St,1708100,Jackson,WC,44.301193,-90.85654
10039574,Kenyon Creek below Hoffman Creek confluence,1705400,Jackson,WC,44.29317,-90.90572
10042851,Deer Creek at Sutter Dr,886900,Dane,SC,42.959164,-89.68171
10029078,Unnamed Tributary 100 ft W Townline Rd,5030146,Washington,SE,43.53914,-88.28139
133064,Sixmile Creek at Woodland Dr Brg,805500,Dane,SC,43.159992,-89.43189
10016058,Johnson Creek - Ranch Road Bridge,846700,Jefferson,SC,43.092987,-88.692116
10043573,Quas Creek at Quas Creek Park,15000,Washington,SE,43.415672,-88.14881
10032540,Little Menomonee River at Milwaukee,17600,Milwaukee,SE,43.12353,-88.043434
10044913,Unnamed Trib of Turtle Creek at County Highway O,794300,Walworth,SE,42.6574,-88.6284
10020461,Stony Brook - Across From Farm Adjacent To Shady Lane,81500,Calumet,NE,44.04853,-88.2312
603299,Silver Creek at Sth 144 Wayside Bi,29900,Sheboygan,SE,43.556587,-88.03688
10010911,Door Creek - Door Creek At Jahnke Road,802800,Dane,SC,43.071568,-89.23802
10010431,Otter Creek - Otter Creek 51m Upstream Hwy 26,812600,Rock,SC,42.821968,-88.93215
413730,Little Menomonee River - 350 Ft Upstream Of Calumet Rd Lmr-C,17600,Milwaukee,SE,43.15674,-88.027115
10009946,Spring Creek Below N. Murray Rd,799900,Rock,SC,42.817463,-89.26451
10048415,Warner Creek 300ft US Big Valley Road,1195700,Vernon,WC,43.64776,-90.57032
10010963,Mud Creek - Mud Creek At Hilcrest Rd,810300,Dane,SC,43.0104,-89.07806
10048574,"West Branch White River 0.7mi S STH 21, 0.3mi E CTH Y",151700,Waushara,NE,44.057926,-89.33254
10017206,Sugar River-10 Feet Upstream From Bridge Off Hwy Pd. No Riffle Sampled Bottom Debris.,875300,Dane,SC,43.009827,-89.599655
10044031,Goldendale Creek at Freistadt Road,18900,Washington,SE,43.23554,-88.12693
10033608,Spring Brook Creek at Hwy 89,815300,Walworth,SE,42.811066,-88.74427
10049572,Hall Bottom Creek 300ft DS Confluence (WBIC 1209200),NA,Richland,SC,43.335575,-90.61306
10042143,Schoenick Creek 200m ds St. John's Church Rd,321000,Shawano,NE,44.70741,-88.63389
10050760,Schoenick Creek 45 yds US Cloverlead Road,321000,Shawano,NE,44.69967,-88.63181
10051165,Jackson Creek at Petrie Road,793800,Walworth,SE,42.641357,-88.52198
10014361,Jackson Creek -Hwy 67 Bridge Upstream 232 M To End,793800,Walworth,SE,42.64571,-88.5411
10047699,"Ehler's Park, upstream of Ehlers Creek",15000,Ozaukee,SE,43.408184,-87.9409
10048186,Darien Creek at North Rd,791800,Walworth,SE,42.59074,-88.76151
10009478,Sugar River Upstream Of Bruce Comp. Bridge,875300,Dane,SC,42.9397,-89.541626
10044132,Kickapoo River - Taylor Ridge Rd. bridge,1182400,Crawford,WC,43.22122,-90.84219
10052493,Unnamed (1186200) DS Confluence Unnamed (5031641),1186200,Crawford,WC,43.403862,-90.86997
10050874,"Lowery Cr. DS CTH-C,",1241400,Iowa,SC,43.14229,-90.06994
10053705,East Branch Milwaukee River at Lake to Lake Bike Trail,36900,Fond du Lac,NE,43.64704,-88.176834
10053717,Unnamed (40600) at Eisenbahn State Trail,40600,Fond du Lac,NE,43.554375,-88.26002
683247,Rosenow Creek at Nature Ctr 1m (Bi),848900,Waukesha,SE,43.134354,-88.48517
10033998,Lovetts Creek at Berry Rd bridge,920700,Lafayette,SC,42.66436,-90.03881
10031037,Palmer Park Beach,796800,Rock,SC,42.682667,-88.985016
463207,Milwaukee River Tributary at Cedar Creek Rd At Grafton WI,26300,Ozaukee,SE,43.337753,-87.95901
10016817,Evergreen Cr. - 100 Ft Dwnstream Pleasant Valleyrd,23000,Washington,SE,43.351906,-88.12807
10047953,Honey Creek DS W Loomis Road,NA,Milwaukee,SE,42.95704,-87.97367
10029483,West Twin River at CYH Y,87000,Manitowoc,NE,44.240097,-87.70544
10054847,Wedde Creek US 11th Drive,156000,Marquette,NE,43.976665,-89.405334
10054851,Plum Creek - Creek Road,NA,Vilas,NO,45.96,-89.54701
10054854,Sugar River at County HWY J,NA,Dane,SC,43.02521,-89.62154
33079,Turtle Creek - 150 ft West of 6th St,2078300,Barron,NO,45.293102,-92.034584
10054913,Silver Creek - 4 1/2 Street,2078600,Barron,NO,45.293648,-92.065865
10054917,East Survey Rd,NA,Iowa,SC,42.917297,-90.16068
10032767,Brown Deer Park Creek at W. Good Hope Rd. (Hwy. PP) Glendale,19700,Milwaukee,SE,43.148438,-87.950645
53690,Duck Creek at Cth FF (Hillcrest Rd),409700,Brown,NE,44.53361,-88.129295
10010233,Hornby Creek - along Hornby Rd in fishery area,1640700,Vernon,WC,43.48783,-90.99496
10020499,Genesse Creek-Upstream Of Hwy 59,769800,Waukesha,SE,42.95847,-88.35945
10055108,Plover River - Hwy N on the East side of Hwy Y,1402800,Marathon,WC,44.942,-89.326
10055110,Otter Creek - 4552-4576 cTH Q,NA,Iowa,SC,43.039913,-90.26241
10055117,Milwaukee River - Eisenbahn Trail Downstream of HWY F,NA,Fond du Lac,NE,43.65699,-88.324715
10055116,Oak Creek - Clement St.,NA,Milwaukee,SE,42.905308,-87.89147
10043938,Maunesha River at Twin Lane Rd,837500,Dane,SC,43.225998,-89.146706
10055120,Sugar River-South of Frenchtown road Bridge,875300,Dane,SC,42.890835,-89.53139
10053871,Unnamed Trib (5031431) to Sinissippi Lk at CTH S,5031431,Dodge,SC,43.40793,-88.66293
10052333,Unnamed Trib (858700) at Strange Road,858700,Dodge,SC,43.39632,-88.575035
10052329,Neda Creek at Downer Road,859100,Dodge,SC,43.403248,-88.54698
10052330,Lentz Creek at West Iowa Road,859600,Dodge,SC,43.41385,-88.51768
133311,Maunesha R - A Hwy 19 Brg,837500,Dane,SC,43.16382,-89.050285
10052332,Woodland Creek at CTH WS,859400,Dodge,SC,43.372135,-88.519066
10039100,West Branch White River 100 meters DS 13th Ave,151700,Waushara,NE,44.08664,-89.363
10042538,Stony Brook at Airport Road,837600,Jefferson,SC,43.114746,-88.98406
353124,Prairie River at Hwy J,1481200,Lincoln,NO,45.29377,-89.54635
10012036,Sixmile Creek - Waunakee Park at third bridge,805500,Dane,SC,43.189003,-89.44841
133060,Sixmile Creek - Waunakee Canning Co Outfall,NA,Dane,SC,43.18899,-89.448425
10053872,Unnamed Trib (5031378) at CTH S,5031378,Dodge,SC,43.415462,-88.62117
10055225,Mecan River - Off Hwy JJ and 11th Ave,NA,Waushara,NE,44.0108,-89.40153
10047225,Pigeon River at Maywood Park Bridge,62300,Sheboygan,SE,43.778,-87.75627
10055619,Pigeon River - Bur Oak,NA,Sheboygan,SE,43.79303,-87.79608
10055666,Tamarack Creek ~550 M DS Tamarack Road,1624800,Vilas,NO,46.0876,-89.3075
